[2026-03-19T23:20:33.279Z] GET http://127.0.0.1:5050/ → 200 (8ms, 45643B)
[2026-03-19T23:20:33.298Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&family=JetBrains+Mono:wght@400;600&display=swap → 200 (107ms, 12385B)
[2026-03-19T23:20:33.298Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css → 200 (113ms, 232803B)
[2026-03-19T23:20:33.298Z] GET https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css → 200 (93ms, 85875B)
[2026-03-19T23:20:33.298Z] GET http://127.0.0.1:5050/static/css/style.css → 200 (9ms, 29885B)
[2026-03-19T23:20:33.298Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js → 200 (235ms, 80721B)
[2026-03-19T23:20:33.298Z] GET https://cdn.jsdelivr.net/npm/marked/marked.min.js → 200 (101ms, 39903B)
[2026-03-19T23:20:33.299Z] GET https://cdn.jsdelivr.net/npm/mermaid@11/dist/mermaid.min.js → 200 (240ms, 2963890B)
[2026-03-19T23:20:33.299Z] GET http://127.0.0.1:5050/static/js/app.js → 200 (14ms, 96264B)
[2026-03-19T23:20:33.526Z] GET https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6 → 200 (153ms, 130396B)
[2026-03-19T23:20:33.526Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (153ms, 48256B)
[2026-03-19T23:20:34.372Z] GET http://127.0.0.1:5050/api/thumbnail?path=/mnt/c/zip/aeternus/Photography/2025-04-07%20Seneca%20Rocks,%20WV/processed/IMG_0001.jpg&size=200 → 404 (13ms, 32B)
[2026-03-19T23:22:20.932Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fcontact_sheet_1.jpg&size=200 → pending (?ms, ?B)
[2026-03-19T23:27:58.166Z] GET http://127.0.0.1:5050/ → 200 (5ms, 45643B)
[2026-03-19T23:27:58.188Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&family=JetBrains+Mono:wght@400;600&display=swap → 200 (?ms, 12385B)
[2026-03-19T23:27:58.189Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css → 200 (?ms, 232803B)
[2026-03-19T23:27:58.189Z] GET https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css → 200 (?ms, 85875B)
[2026-03-19T23:27:58.190Z] GET http://127.0.0.1:5050/static/css/style.css → 200 (1ms, 29885B)
[2026-03-19T23:27:58.190Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js → 200 (?ms, 80721B)
[2026-03-19T23:27:58.190Z] GET https://cdn.jsdelivr.net/npm/marked/marked.min.js → 200 (?ms, 39903B)
[2026-03-19T23:27:58.190Z] GET https://cdn.jsdelivr.net/npm/mermaid@11/dist/mermaid.min.js → 200 (?ms, 2963890B)
[2026-03-19T23:27:58.190Z] GET http://127.0.0.1:5050/static/js/app.js → 200 (1ms, 96715B)
[2026-03-19T23:27:58.227Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (1ms, ?B)
[2026-03-19T23:27:58.228Z] GET https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6 → 200 (?ms, ?B)
[2026-03-19T23:27:58.228Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, ?B)
[2026-03-19T23:33:41.264Z] GET http://127.0.0.1:5050/ → 200 (18ms, 45659B)
[2026-03-19T23:33:41.287Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&family=JetBrains+Mono:wght@400;600&display=swap → 200 (?ms, 12385B)
[2026-03-19T23:33:41.287Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css → 200 (?ms, 232803B)
